Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IRCTC,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
CBOE,14500,0,0.00,0,0.00,123.65,14500,0
BBJP,14200,0,0.00,0,0.00,46.30,14200,0
BBEU,12500,0,0.00,0,0.00,47.29,12500,0
GOVT,11100,0,0.00,0,0.00,23.70,11100,0
AAAU,0,0,0.00,0,0.00,0.00,0,0
ACIO,0,0,0.00,0,0.00,0.00,0,0
ACSI,0,0,0.00,0,0.00,0.00,0,0
ACWV,0,0,0.00,0,0.00,0.00,0,0
ADFI,0,0,0.00,0,0.00,0.00,0,0
ADME,0,0,0.00,0,0.00,0.00,0,0
AESR,0,0,0.00,0,0.00,0.00,0,0
AFIF,0,0,0.00,0,0.00,0.00,0,0
AGT,0,0,0.00,0,0.00,0.00,0,0
ALFA,0,0,0.00,0,0.00,0.00,0,0
AMER,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
APXH,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
ARKG,0,0,0.00,0,0.00,0.00,0,0
ARKQ,0,0,0.00,0,0.00,0.00,0,0
ARKX,0,0,0.00,0,0.00,0.00,0,0
ATMP,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
BALT,0,0,0.00,0,0.00,0.00,0,0
BAPR,0,0,0.00,0,0.00,0.00,0,0
BAUG,0,0,0.00,0,0.00,0.00,0,0
BBAX,0,0,0.00,0,0.00,0.00,0,0
BBCA,0,0,0.00,0,0.00,0.00,0,0
BBIN,0,0,0.00,0,0.00,0.00,0,0
BBRE,0,0,0.00,0,0.00,0.00,0,0
BBSA,0,0,0.00,0,0.00,0.00,0,0
BBUS,0,0,0.00,0,0.00,0.00,0,0
BDEC,0,0,0.00,0,0.00,0.00,0,0
BFEB,0,0,0.00,0,0.00,0.00,0,0
BGLD,0,0,0.00,0,0.00,0.00,0,0
BJAN,0,0,0.00,0,0.00,0.00,0,0
BJUL,0,0,0.00,0,0.00,0.00,0,0
BJUN,0,0,0.00,0,0.00,0.00,0,0
BLDG,0,0,0.00,0,0.00,0.00,0,0
BLKC,0,0,0.00,0,0.00,0.00,0,0
BMAR,0,0,0.00,0,0.00,0.00,0,0
BMAY,0,0,0.00,0,0.00,0.00,0,0
BNOV,0,0,0.00,0,0.00,0.00,0,0
BOB,0,0,0.00,0,0.00,0.00,0,0
BOCT,0,0,0.00,0,0.00,0.00,0,0
BOSS,0,0,0.00,0,0.00,0.00,0,0
BSEP,0,0,0.00,0,0.00,0.00,0,0
BUFB,0,0,0.00,0,0.00,0.00,0,0
BUFD,0,0,0.00,0,0.00,0.00,0,0
BUFF,0,0,0.00,0,0.00,0.00,0,0
BUFG,0,0,0.00,0,0.00,0.00,0,0
BUFQ,0,0,0.00,0,0.00,0.00,0,0
BUFR,0,0,0.00,0,0.00,0.00,0,0
BUFT,0,0,0.00,0,0.00,0.00,0,0
BUYZ,0,0,0.00,0,0.00,0.00,0,0
CALF,0,0,0.00,0,0.00,0.00,0,0
CEFS,0,0,0.00,0,0.00,0.00,0,0
